gurmukhi,shahmukhi,part_of_speech
ਮੋਟੀ ਸਾਮੀ,موٹی سامی,"noun, feminine"
ਬੇਲਣੀ,,
ਪੀਣਸ,,
ਕਠਨਤਾ,کٹھنتا,"noun, feminine"
ਪਤ ਲਾਹੁਣੀ,پت لاہُنی,conjunct verb
ਪੁੱਛ ਪੜਤਾਲ,پُچّھ پڑتال,"noun, feminine"
ਰੋਸਣ,,
ਲਾਮ੍ਹਾ,لامھا,"noun masculine, colloquial"
ਭੇਂਟ ਕਰਾਉਣੀ,بھینٹ کراؤنی,phrase
ਯੋਗਕ,یوگک,"noun, masculine"
ਰਾਜ਼ੀ,راضی,adjective
ਸਮ ਕੇਂਦਰ,سم کیندر,"noun, masculine"
ਜੇਲ੍ਹਰ,جیلر,"noun, masculine"
ਮਜਿਸਟਰੇਟੀ,مجِسٹریٹی,"noun, feminine"
ਇਨਾਇਤ,عنایت,"noun, feminine"
ਪ੍ਰਤਿਜੀਵ,پرتِجیو,"noun, masculine"
ਫਟਫਟਾਉਣਾ,,
ਮਹੱਲਾ,محلّہ,"noun, masculine"
ਫਲਸਫ਼ੀ,فلسفی,"noun, masculine"
ਘਨੇਯਰ,,
ਈਸੁਰ,,
ਜਹੂਰ,ظہور,"noun, masculine"
ਸਦਾ,سدا,adverb
ਰਤਾਨ੍ਹਾ,رتانھا,"noun, masculine"
ਹਾਊਸ,,
ਅੰਤਰਿਕਸ਼,انترِکش,"noun, masculine"
ਬਾਢੀ,باڈھی,"noun feminine, dialectical usage"
ਯਕ ਜ਼ਬਾਨ,یک زبان,adjective & adverb
ਸਰਬ ਅਧਿਕਾਰੀ,سرب ادھیکاری,"noun, masculine & adjective"
ਸਪਤ ਸਿੰਧੂ,سپت سِندھو,"noun, masculine"
ਤਸਲੀਮ,تسلیم,"noun, feminine"
ਸਰਮਾਏਦਾਰੀ,سرمائےداری,"noun, feminine"
ਝਲਾਂਘੇ,,
ਵਿਰਵਾ,وِروا,"adjective, masculine"
ਲਿਹਾਜ਼ ਮੁਲਾਹਜ਼ਾ,لحاظ ملاحظہ,"noun, masculine"
ਪੱਖ ਕਰਨਾ,پکّھ کرنا,conjunct verb
ਚੌਪਡ਼,,
ਫਲਾਸਫਾ,,
ਦੇਗਾ,دیگا,"noun, masculine"
ਤਰਕ,ترک,"noun, masculine"
ਖੁੱਲ੍ਹ ਦੇਣੀ,کُھلّ دینی,conjunct verb
ਬੁਪਾਰ,,
ਕੁਤਕੁਤਾੜੀ ਹੋਣੀ,کُتکُتاڑی ہونی,conjunct verb
ਵਿਦੇਸ਼ੀ,وِدیشی,adjective
ਜਰਕ,جرک,"noun, feminine"
ਪੜ੍ਹੀ ਲਿਖੀ,پڑھی لکھی,"adjective, feminine/adjective, feminine"
ਆਸਤਿਕਤਾ,آستِکتا,"noun, feminine"
ਪੀਹੀ,,
ਚੋ,چو,verb
ਤ੍ਰਿੱਡਾ,ترِڈّا,"noun masculine, dialectical usage"
ਕਹਯਾ,,
ਸੋਲ,سول,"noun, masculine"
ਪਟੋਹਯਾ,,
ਡੂਡਣਾ,ڈوڈنا,"noun, masculine"
ਲੁਕਮਾਂ,,
ਹਕੀਮ,حکیم,"noun, masculine"
ਲਿਖਾਈ ਪੜ੍ਹਾਈ,لِکھائی پڑھائی,"noun, feminine"
ਗੜਬੜੀ,گڑبڑی,"noun, feminine"
ਚੁਤਾਰਾ,چُتارا,"adjective, masculine"
ਕੌਡਿਆਲਾ,,
ਤਿਮਾਹੀ,تِماہی,"adjective, feminine"
ਤਮਾਸ਼ਾ,تماشہ,"noun, masculine"
ਮਟਾਉਣਾ,,
ਮੇਰੰਦੂ,,
ਜਈਫ਼ੀ,ضعیفی,"noun, masculine"
ਪਰਾਂਦਾ,پراندا,"noun, masculine/noun, feminine"
ਯੋਧਾ,یودھا,"noun, masculine"
ਛਿਪਾਉ,,
ਤਾਜ ਸੰਬੰਧੀ,تاج سنبندھی,adjective
ਨਧੜਕ,ندھڑک,adjective
ਯੂਥ,یوتھ,"noun masculine, plural"
ਨਿਸਤਾਰਨਾ,,
ਬਾਨਯਾਂ,,
ਦਲਾ,,
ਵਿੱਸਰਣਾ,,
ਕਾਲ਼ੋਂ,کالوں,"noun, feminine"
ਕੀਤਾ ਪਾਉਣਾ,کِیتا پاؤنا,phrase
ਸਰਵਾਣਣੀ,,
ਭਲਵਾਣੀ,,
ਕਿਆਰੇ ਬੁੱਜਣਾ,کیارے بُجّنا,conjunct verb
ਮਸੇਰ ਭਾਈ,مسیر بھائی,"noun, masculine/noun, feminine"
ਰਸ਼ਕ ਕਰਨਾ,رشک کرنا,conjunct verb
ਕੋਵੀ,,
ਧਮਚੱਕਡ਼,,
ਅਟਕਵਾਉਣਾ,اٹکواؤنا,"verb, transitive"
ਸਿਰ ਹਿਲਾਉਣਾ,سِر ہِلاؤنا,phrase
ਗੈਰ ਮੁਨਾਸਬ,غَیر مُناسب,adjective
ਪੈਂਚਰ,پَینچر,"adjective & noun, masculine"
ਤੱਕਲਾ,,
ਦਾਤਰੀ ਵਰਗਾ,داتری ورگا,"adjective, masculine"
ਘੋਸ਼ਣਾ ਪੱਤਰ,گھوشنا پتّر,"noun, masculine"
ਸਿਰਾਊ,,
ਵਰਤਣਾ,ورتنا,"verb, transitive"
ਸਰਗਾਹੀ,,
ਸੁੰਦਰੀ,سُندری,"noun, feminine"
ਅਸੰਤੁਸ਼ਟਤਾ,اسنتُشٹتا,"noun, feminine"
ਅੰਨ੍ਹੇਵਾਹ,انّھیواہ,adverb
ਚਿਰੰਜੀਵਤਾ,چِرنجیوتا,"noun, feminine"
ਨਿਸ਼ਚੇਯੋਗ,نِشچے یوگ,adjective
ਪਾਸਵਲ਼ੀ,پاسولی,"noun, feminine"
ਝਲ,,
ਰਸਵਾਂ,رسواں,adjective
ਠੁਣਾ ਰੱਖਣਾ,ٹھُنا رکّھنا,phrase
ਕਰਵਾਨੀ,,
ਛਾਂ ਕਰਨੀ,چھاں کرنی,conjunct verb
ਝੁੰਬਰ,,
ਦੁਆਪਰ,دُوآپر,"noun, masculine"
ਭਾਨੀਮਾਰ,بھانیمار,adjective
ਵੱਖੀ ਭਾਰ,وکھّی بھار,adverb
ਛਿੱਡੀ,چھِڈّی,"noun, feminine"
ਪਚਾਨ੍ਹਵੀਂ,پچانھویں,"adjective, feminine"
ਭੇ,,
ਲਵ ਮੈਰਿਜ,لوَ مَیرِج,"noun, feminine"
ਬੁਲਬੁਲ,بُلبُل,"noun, feminine"
ਜੇਬ ਘੜੀ,جیب گھڑی,"noun, feminine"
ਨਰ ਮਾਦਾ,نر مادہ,"noun masculine, plural"
ਤਮੀਜ,تمیز,"noun, feminine"
ਨਜ਼ਾਮ,نظام,"noun, masculine"
ਫੂੰ,پھوں,"noun, feminine"
ਖਾਹਡ਼ਾ,,
ਖਿਤਾਬ ਮਿਲ਼ਨਾ,خِطاب مِلنا,verb intrasitive
ਸਯਹਡ਼,,
ਨਾਯਕੀ,,
ਚੋਰ ਖਾਨਾ,چور خانہ,"noun, masculine"
ਰੁਖਸਤ,,
ਚੀੱਨਾ,,
ਪਤਰੀਸ,پتریس,"noun, feminine"
ਪਿਟਣਾ,پِٹنا,"verb, intransitive"
ਜੈਜਾਵੰਤੀ,جَیجاونتی,"noun, masculine"
ਪਰਤਲ,پرتل,"noun, masculine"
ਹੌਲ਼ੀ,ہولی,"adjective, feminine"
ਲੰਬਰਦਾਰ,لنبردار,"noun, masculine"
ਕਿਤਨਵੀਂ,,
ਗਡ਼ਚ ਗਡ਼ਚ,,
ਸਬਾਲਾ,,
ਲੱਕਰੀ,,
ਅੱਲ ਵਲੱਲਾ,,
ਬਧਵਾਉਣਾ,,
ਮਹੱਤ,مہتّ,adjective
ਮਿਰਤੂ ਵਰਗਾ,مِرتو ورگا,"adjective, masculine"
ਬਾਕ,,
ਡੁਲ੍ਹਵਾਈ,ڈُلھوائی,"noun, feminine"
ਅਸਥਿਤ,استھِت,adjective
ਭਲਮਨਸਊ,بھلمنسُو,"noun, masculine/ noun, feminine"
ਬੇਜੋਰੀ,بے  زوری,"adjective, feminine"
ਸਕਾਰਨਾ,سکارنا,"verb, transitive"
ਗੁੰਮ੍ਹੜ,گُمّھڑ,"noun, masculine"
ਉਸਰਾਈ,,
ਅਧਰੰਗੱਣ,,
ਨਜ਼ਰੀ,نظری,adjective
ਨਵ੍ਹਾਂ,نوھاں,"noun, masculine"
ਜਿੰਨੀਂ,,
ਅਦਿਸਟ,,
ਅਣਬਿਆਹਿਆ,,
ਸੌਂਚੀ,سَونچی,"noun, feminine"
ਗੋਂਘੀਂ,,
ਸਰੀਣੀ,,
ਸ਼ਾਸਕ ਵਰਗ,شاسک ورگ,"noun, masculine"
ਹਉਮੈਂ,ہَؤمَیں,"noun, feminine"
ਰੋਟੀ,روٹی,"noun, feminine"
ਨਰਸੋਂ,,
ਰੇਸ਼ੇਦਾਰ,ریشےدار,adjective
ਪੀਡ਼ਾ,,
ਸ਼ਤੀਰ ਪਾਉਣਾ,شتیر پاؤنا,conjunct verb
ਬੋਲ਼,بول,"noun, masculine"
ਬੌਹਡ਼,,
ਭਤੋਰੂ,,
ਲੋਲਡ਼,,
ਖੱਪਾ,کھپّا,"noun, masculine"
ਗਾਲ਼ਨਾ,گالنا,"verb, transitive"
ਸਿਪਨਾ,,
ਆਬਨੂਸੀ,آبنوسی,adjective
ਖੁਰਕ ਖਾਧਾ,کھُرک کھادھا,"adjective, masculine"
ਸੁਣੀ ਸੁਣਾਈ,سُنی سُنائی,"adjective & noun, feminine"
ਸਜਾਦੀ,,
ਸ਼ਨਾਖਤ,,
ਖਾਨਾ ਖਰਾਬੀ,خانہ خرابی,"noun, masculine"
ਮੰਤਵ,منتوَ,"noun, masculine"
ਲਪਰ ਲਪਰ ਕਰਨਾ,لپر لپر کرنا,phrase
ਤਸਨੀਫ਼,تصنیف,"noun, feminine"
ਲੁਤਫ,,
ਵਲਨ,,
ਪਰਦੇਸ,پردیس,"noun, masculine"
ਮੁਕਾਬਲੇਬਾਜ਼ੀ,مُقابلے بازی,"noun, feminine"
ਐਦਕੀਂ,ایدکیں,adverb
ਭਊਆ,,
ਡਲ੍ਹਕਾਉਣਾ,,
ਥੋੜ੍ਹ,تھوڑھ,prefix
ਕਲਯਾ,,
ਛੁਪ,چھُپ,verb
ਕੋਰੜੂ,کورڑو,"noun, masculine"
ਟਕੀਣਾ,,
ਪਚਾਦਾ,,
ਸਿੱਖੀ,سِکّھی,"noun, feminine"
ਜਿੱਤ ਪ੍ਰਾਪਤ ਕਰਨੀ,جِت پراپت کرنی,phrase
ਦਰਗਡ਼ੀ,,
ਲੋਦੀ,,
ਤਰਸੂਲ,ترسول,"noun, masculine"
ਚਲਦੇ ਫਿਰਦੇ,چلدے پِھردے,adverb
ਮਾਨਵ ਰੂਪਵਾਦ,مانو روپواد,"noun, masculine"
ਬੀਰਜ,بیرج,"noun, masculine"
ਗਵਾਹ,گواہ,"noun, masculine"
ਬਤਾਉਣਾ,,
ਚੀਰ ਕੱਢਣਾ,چیر کڈّھنا,conjunct verb
ਦੁਖਿਆਰੀ,,
ਦਵਾਇਤ,,
ਨੈਹਰ,,
ਹਿੜ,ہِڑ,verb
ਅੱਲਣ,الّن,"noun, masculine"
ਖਰਖਰਾ,کھرکھرا,"noun, masculine"
ਕੇਦੂ,,
ਖੰਘਾਰ,کھنگھار,"noun, masculine"
ਕਸੋਹਣਾ,کسوہنا,"adjective, masculine"
ਜਮ੍ਹਾਂ,جمع,"noun, feminine"
ਪ੍ਰਸਤਾਵਿਤ,پرستاوِت,adjective
ਮਨੋ ਵਿਗਿਆਨਿਕ,منو وِگیانک,adjective
ਚੀਚ ਘਚੋਲੀਆਂ,چیچ گھچولیاں,"noun feminine, plural/noun masculine, plural"
ਗੁਲ੍ਹਰੀ,,
ਹਾਨਤ,,
ਚਰਿੱਤਰਹੀਣਤਾ,چرِتّرہینتا,"noun, feminine"
ਹੈ ਸੀ,ہے سی,auxiliary verb
ਪਸਕੱਦ,,
ਵੱਢੀ,وڈّھی,"noun, feminine"
ਲਿਚੈਣ,,
ਘਾਡ਼,,
ਕਿੱਲਾ ਪੁੱਟਣਾ,کِلاّ پُٹّنا,conjunct verb
ਪਵਨ,پوَن,"noun, feminine"
ਬਕਾਵਾਦ,,
ਅਘਾਤ ਪੁਚਾਉਣਾ,اگھات پُچاؤنا,conjunct verb
ਥਾਏਂ,تھائیں,adverb
ਕਤਾਰ ਬੰਨ੍ਹਣੀ,قطار بنّھنی,conjunct verb
ਮਲ੍ਹਾਰ,ملہار,"noun, masculine"
ਚੁਰਕਣਾ,,
ਜੇਤਾ,جیتا,"adjective, masculine"
ਫੂਰ੍ਹ,پھورھ,"noun, feminine"
ਕੱਲਰ ਹੋ ਜਾਣਾ,کلّر ہو جانا,phrase
ਲਟਕਾ,لٹکا,"noun, masculine"
ਨਣਕਾ,,
ਛਿਲਵਾਉਣਾ,چھِلواؤنا,"verb, transitive"
ਜੈਜੀਂਯਾ,,
ਪਾਡ਼੍ਹੂ,,
ਹੰਭ,ہنبھ,verb
ਗਾਹਣ ਲੰਘਣਾ,گاہن لنگھنا,conjunct verb
ਰੋਸ਼ਨ ਕਰਨਾ,روشن کرنا,conjunct verb
ਉਚਕਣਾ,,
ਅਲਜਬਰੇ ਸਬੰਧੀ,الجبرے سبندھی,adjective
ਕੀਲੌ,,
ਲਖਨਪਾਲ,,
ਸੌੱਦਾ,,
ਘਟਣਾ ਵਧਣਾ,گھٹنا ودھنا,compound verb
ਗੁੱਮੀ,,
ਝੁਰੜੀਆਂ ਪੈਣੀਆਂ,جھُرڑیاں پَینیاں,conjunct verb
ਮਿਠਿਆਈ,مِٹھیائی,"noun, feminine"
ਮੁੜਵਾਉਣਾ,مُڑواؤنا,"verb, transitive"
ਸ਼ੁਬ੍ਹਾ ਕਰਨਾ,شبہ کرنا,conjunct verb
ਦਿਸਾਉਣਾ,,
ਹੌਲ਼ਾ ਕਰਨਾ,ہولا کرنا,conjunct verb
ਨਤੀਜਾ ਕੱਢਣਾ,نتیجہ کڈّھنا,conjunct verb
ਹੱਬ,حبّ,"noun, feminine"
ਗਡਾਈ,گڈائی,"noun, feminine"
ਦਾਨ ਦੇਣਾ,دان دینا,conjunct verb
ਤਰਕਵਾਦ,ترکواد,"noun, masculine"
ਭਾਈਵਾਲਤਾ,بھائیوالتا,"noun, feminine"
ਚਾਰਵਾਕ,چارواک,"noun, masculine"
ਲੜਕਾ ਬਾਲਾ,لڑکا بالا,"noun, masculine"
ਵਿੱਨ੍ਹਣਾ,,
ਸਾਣੀ,سانی,"adjective, feminine"
ਸਹਿਲ ਕਰਨਾ,سہِل کرنا,conjunct verb
ਸਮੁਦਾਇਕ,سمودائک,adjective
ਰੋਚਕਤਾ,روچکتا,"noun, feminine"
ਮਲਤ,,
ਮੁਹਸੀ,,
ਪਰਣ,پرن,"noun, masculine"
ਕੋਪਰ,کوپر,"noun, masculine"
ਭਿਖੱਕ,,
ਹਰੀ ਝੰਡੀ ਵਿਖਾਉਣੀ,ہری جھنڈی وِکھاؤنی,phrase
ਬੇਮਿਸਾਲ,بے مثال,adjective
ਦੋਸੜਾ,دوسڑا,"noun, masculine"
ਸਮਾਪਨ,سماپن,"noun, feminine/noun, masculine"
ਛੁੱਛ,,
ਨਕਾਸ,,
ਹਰਜ ਕਰਨਾ,حرج کرنا,conjunct verb
ਦੱਸ ਦੇਣਾ,دسّ دینا,conjunct verb
ਸਹਿਣਕੀ,,
ਫਫਰਾ,,
ਸਬਦੀ,,
ਹਿਮਾਇਤ ਕਰਨੀ,حمایت کرنی,conjunct verb
ਕਮਰ,قَمر,"noun, feminine"
ਅਜੀਤ,اجیت,adjective
ਕਦੇ,کَدے,adverb
ਵੱਢ,وڈّھ,verb
ਧੂੱਨੂ,,
ਮੈਲਾ,,
ਰਾਖਵਾਂ,راکھواں,"adjective, masculine"
ਨਫ਼ਾ,نفع,"noun, masculine"
ਬਿਰਲਾਪ,,
ਢੇਰੀ ਕਰਨਾ,ڈھیری کرنا,phrase
ਮਲਿਆਲੀ,ملیالی,"noun, feminine"
ਸੁਝਾਉ,سُجھاؤ,"noun, masculine"
ਲਵੀਰ,,
ਵੇਖ,ویکھ,verb
ਮੰਗੇਤਰ,منگیتر,"noun, masculine/feminine"
ਖਰਾਸ਼,خراش,"noun, feminine"
ਸਕਾਰੀ,,
ਦੁੱਧ ਦੇ ਦੰਦ,دُدّھ دے دند,phrase
ਅਮਨ ਪਸੰਦ,امن پسند,adjective
ਜਲਵਾ ਅਫਰੋਜ,جلوہ افروز,adjective
ਜੁੱਟ,جُٹّ,"noun, masculine & adjective"
ਚਿਮੂਨਹ,,
ਘੂਟਾ,,
ਖੜਾਂ,کھڑاں,"noun, feminine"
ਲੀਜ਼,لیز,"noun, masculine"
ਘਾਹ ਪੱਠਾ,گھاہ پٹھّا,"noun, masculine"
ਥਈਆ,تھئیا,"noun, masculine"
ਕਰਤਾਰਥ,,
ਵਾਨ,وان,"noun, masculine"
ਝੁਰਮੁਸਾ,,
ਪਗ ਚਿੰਨ੍ਹ,پگ چِنہ,"noun, masculine"
ਕਵਰਗੰਦਲ,,
ਅਲੂਣਾ,الونا,adjective
ਕਟਕ ਚੜ੍ਹਨਾ,کٹک چڑھنا,conjunct verb
ਗਰਦੌਰੀ,,
ਬਛਡ਼ੀ,,
ਅਧਕਾਰ,,
ਦਿਦਰਿਆਰ,,
ਖੈਰਾਤ,خَیرات,"noun, feminine"
ਅਖਾ,اکھا,verb
ਦੁਆਬੀਆ,دُوآبیا,"adjective & noun, masculine"
ਬਿਮਾਰੀ ਦੀ ਉਪਜ ਅਤੇ ਫੈਲਾ,بیماری دی اُپج اَتے پھَیلا,phrase
ਨਿਆਉਂ,,
ਝੋਰਾ,جھورا,"noun, masculine"
ਤਹਾਰਤ,,
ਬੁੱਤ ਲਾਉਣਾ,بُتّ لاؤنا,conjunct verb
ਅਨਾਚਾਰਤਾ,اناچارتا,"noun, feminine"
ਗੁਣਗੁਣੀ,,
ਕੁਪੱਤ,کُپتّ,"noun, feminine"
ਨਾਇਤਫ਼ਾਕੀ,نااتفاقی,"noun, feminine"
ਭਾਂਪ,بھانپ,verb
ਰਜਾਕਾਰਵਾਦੀ,رجاکاروادی,adjective
ਵਿਚਾਰ ਅਧੀਨ,وِچار ادِھین,adjective & adverb
ਗਜਣ,,
ਰੁਹਬ,,
ਜੜੀ ਬੂਟੀ,جڑی بُوٹی,"noun, feminine"
ਭੇਟ,بھیٹ,"noun, feminine"
ਸ਼ਰੀਕੇਦਾਰੀ,شریکےداری,"noun, feminine"
ਜਿੱਧਰ ਵੀ,جِدّھر وی,adverb
ਕਫ਼ਾਇਤ,کفایت,"noun, feminine"
ਘਸੁੰਨ ਮੁੱਕੀ,گھسُنّ مُکّی,"noun, feminine"
ਗਤ,گت,"noun, feminine"
ਮਗਰੂਰੀ,مغروری,"noun, feminine"
ਪਡ਼ਛਾਂਵਾਂ,,
ਘੂਕਰ ਪੈਣੀ,گھوکر پَینی,conjunct verb
ਥੌਹ ਟਿਕਾਣਾ,تھوہ ٹِکانا,"noun, masculine"
ਰੋਦ,,
ਕਲੋਨੀ,کلونی,"noun feminine, colloquial"
ਗਰੁਪਬਾਜ਼ੀ,گرُپبازی,"noun, feminine"
ਨਾਈਲਨ,نائیلن,"noun, feminine"
ਵਸੂਲਣਯੋਗ,وصولن یوگ,adjective
ਰਵਿੱਦ,,
ਘਸਰਾਉਣਾ,,
ਚਿੜੀਆ ਘਰ,چِڑیا گھر,"noun, masculine"
ਤਲਣਾ,تلنا,"verb, transitive"
ਪਰ ਨਾਰੀ,پر ناری,"noun, feminine"
ਸਮਰੱਥ,سمرتھّ,adjective
ਬਾਸਣ,,
ਭਾਂਗਾੱ,,
ਸ਼ਤਾਨੀ ਕਰਨੀ,شیطانی کرنی,conjunct verb
ਮੁਛੈਲ,,
ਪਟਵੰਤ,,
ਹੋਕਾ,ہوکا,"noun, masculine"
ਅਨੈਤਿਕ,انَیتِک,adjective
ਪਟਾਰੀ,پٹاری,"noun, feminine"
ਲਾਪਰਵਾਹੀ,لاپرواہی,"noun, feminine"
ਵਿੱਲਣਾ,وِلّنا,"verb, intransitive"
ਦਾਜਡ਼,,
ਜੂਣ,,
ਗੰਦਲ਼,گندل,"noun, feminine"
ਗਡ਼੍ਹਕਾਉਣਾ,,
ਦੁਹੇਲੀ,,
ਵਲਾ,,
ਮਾਮੀ,مامی,"noun, feminine"
ਅਪੁੱਤਾ,اپُتّا,"adjective, masculine"
ਲੋਕ ਧਾਰਾ,لوک دھارا,"noun, feminine"
ਦਾਖਲ ਹੋਣਾ,داخل ہونا,conjunct verb
ਸੁਰਜਣਾ,,
ਚਿਲ਼,چِل,"noun, feminine"
ਜਸ਼ਨ,جشن,"noun, masculine"
ਗਊ ਵਧ,گئُو ودھ,"noun, masculine"
ਤੱਲਕਾ,تلّکا,"noun, masculine"
ਬਾਮ੍ਹਣੀ,,
ਆਹਡ਼ਤ,,
ਘੁੰਮਰ,گھُمّر,"noun, feminine"
ਸ਼ੀਮਕ,,
ਗੁਨਾਹ ਬੇਲੱਜ਼ਤ,گُناہ بیلزّت,phrase
ਲੌ,لو,"noun, masculine"
ਧੱਕ,دھکّ,"noun, feminine"
ਸਾਥ ਛੱਡਣਾ,ساتھ چھڈّنا,conjunct verb
ਅਬੇਜਾਰ,,
ਸਾਜਣਾ,ساجنا,interjection
ਚਠੱ,,
ਕ੍ਰਾਸ ਕਰਨਾ,کراس کرنا,conjunct verb
ਨਿਗੰਦਾਈ,,
ਕੁੱਸ,کُسّ,"noun, feminine"
ਝੰਡੂਲਾ,,
ਸੀੜ੍ਹ,سیڑھ,"noun, masculine"
ਧਿਆਉ,,
ਸ਼ੁਭ ਇੱਛਿਆ,شبھ اچھیا,"noun, feminine"
ਦਮੋਦਰ,,
ਜੁੜਵਾਂ,جُڑواں,"adjective, masculine"
ਖੂੰਟੀ,,
ਅੰਤ,انت,"noun, masculine"
ਟਵਿੱਲ,ٹوِلّ,"noun, feminine"
ਤਰਫਦਾਰੀ,طرفداری,"noun, feminine"
ਕੋਫ਼ਤਾ,کوفتہ,"noun, masculine"
ਲੋਤਕ,,
ਪਰਤਿਰੂਪ,پرتِروپ,"noun, masculine"
ਮਾਹਲੀ,,
ਸੱਥਰਾ,ستھّرا,"noun, masculine"
ਫਿਫਨੀ,,
ਪਰਸਪਰ ਕਿਰਿਆ,پرسپر کِریا,"noun, feminine"
ਬੇਤਰਸੀ,بے ترسی,"noun, feminine"
ਦਲਾਲ,دلال,"noun, masculine"
ਸੁਰਮੀ,,
ਬੋੱਦੀ,,
ਸਤੌਲ਼,ستول,"noun feminine, dialectical usage"
ਚਿੰਤਨ ਕਰਨਾ,چِنتن کرنا,conjunct verb
ਔਰ,اَور,conjunction
ਢੁੰਡਰੀ,ڈھُنڈری,"noun, feminine"
ਨਮਕ ਹਰਾਮੀ,نمک حرامی,"noun, feminine"
ਖਿਡ਼ਕ,,
ਫੁੱਟ ਬਾਲ,فُٹّ بال,"noun, masculine"
ਦਾੱਨੋ,,
ਬੇਤ,,
ਦਾਡ਼ਮ,,
ਜਹੰਨਮੀ,جہنّمی,adjective
ਭੂੰਡ ਪਟਾਕਾ,بُھونڈ پٹاکا,"noun, masculine"
ਬਸੇਬਾੱ,,
ਬਣਨਾ,بننا,"verb, intransitive"
ਦੋਬੀ,,
ਰੁਮਾਂਸਕ,رُمانسک,adjective
ਮਸ਼ਰਕ,مشرق,"noun, masculine"
ਗੁਲਗਲਾ,,
ਕਿਸੇ,کِسے,"pronoun, adjective"
ਤੱਤਵੇਤਾ,تتّویتا,"noun, masculine"
ਉਧਾਲਣਾ,,
ਭੁੰਗ ਪੈਣਾ,بھُنگ پَینا,conjunct verb
ਸੀਂਹ,,
ਵਾਗ ਫੜਾਈ,واگ پھڑائی,phrase
ਵਿਸਵਾਸ,,
ਗਰਦਾਨਣਾ,گرداننا,"verb, transitive"
ਟਮ ਟਮ,ٹم ٹم,"noun, masculine"
ਸ੍ਵਰ ਅੰਤਰੀ,سوَر انتری,adjective
ਡੀਂਗ,ڈینگ,"noun, feminine"
ਕੋਝਾ,کوجھا,"adjective, masculine"
ਗਪਨ,,
ਇਜਰਾ,اِجرا,"noun, masculine"
ਨੀਤ,نیت,"noun feminine, dialectical usage"
ਛਲ਼ਪੂਰਨ,چھلپورن,adjective
ਅਉਧ,اؤدھ,"noun, feminine"
ਮੁੱਢ ਕਦੀਮ,مُڈّھ قدیم,"noun, masculine"
ਥਰਡ,تھرڈ,adjective
ਮੁੱਕ,,
ਲੂਹਰੀਆਂ,,
ਧਾਧਾ,,
ਟਹਿਣਾ,ٹہِنا,"noun, masculine/noun, feminine"
ਤੌਲਗ,,
ਹਿਸਾਬੀ,حسابی,"adjective, masculine"
ਮਕਤਲ,مقتل,"noun, masculine"
ਝੁਲ਼ਸੀ,جھُلسی,"noun, feminine"
ਟੈਂ ਵਿਖਾਉਣੀ,ٹَیں وِکھاؤنی,phrase
ਗਰਧਬ,,
ਟੇਵਾ ਲਾਉਣਾ,ٹیوا لاؤنا,conjunct verb
ਟਹੀ,,
ਉਤਲਾ,اُتلا,"adjective, masculine"
ਝਾਗਣਾ,جھاگنا,"verb, transitive"
ਅਸੀਮ,اسیم,adjective
ਗੋਦੜੀ ਦਾ ਲਾਲ,گودڑی دا لال,phrase
ਹਲਵਾਇਣ,,
ਉੱਭੇਸਾਹੀਂ,اُبّھے ساہیں,adverb
ਮੁੜ੍ਹਕਾ,مُڑھکا,"noun, masculine"
ਕਾਰਜਸ਼ੀਲ,کارج شیل,adjective
ਪੁਨਰ ਵਾਸ,پُنر واس,"noun, masculine"
ਮਾਪ ਅੰਕ,ماپ انک,"noun, masculine"
ਕੁਸ਼ਾ,,
ਸੈ,سَے,"noun, feminine"
ਅਖੌਤ,اکَھوت,"noun, feminine"
ਚਰਬੀ,چربی,"noun, feminine"
ਦੁਸੇਰਾ,دُسیرا,"noun, masculine/noun, feminine"
ਲੱਗਿਆਂ,لگّیاں,adverb
ਝੁੰਜਲਾਉਣਾ,,
ਖਾਮ ਖਿਆਲੀ,خام خیالی,"noun, feminine"
ਚੁਧਰਾਇਣ,,
ਲਾਣਤੀਆ,,
ਖੂਹ ਖਾਤੇ,کُھوہ خاطے,adverb
ਧੱਖੀ,,
ਪੇਕੇ,,
ਦ੍ਵੈਤਵਾਦੀ,دوَیتوادی,"noun, masculine & adjective"
ਜਮ੍ਹਾਂ ਖਰਚ,جمع خرچ,"noun, masculine"
ਅਭਮਾਨ,ابھمان,"noun, masculine"
ਨਿਰੁਕਤੀਕਾਰ,نِرُکتی کار,"noun, masculine"
ਨਖਾਰ,,
ਸਰਵਾਲੀ,,
ਕਾਮਯਾਬੀ,کامیابی,"noun, feminine"
ਰਪਟੀ,,
ਝਾਂਫਾ,جھانپھا,"noun masculine, dialectical usage"
ਕੋਸ,کوس,verb
ਨਿਵਹੇ,,
ਸਲਾਹਕਾਰ,صلاح کار,"noun, masculine"
ਨਾਪਣਾ,ناپنا,"verb, transitive"
ਵਾਨਪ੍ਰਸਥ,وانپرستھ,"noun, masculine"
ਆਲਾਪਣਾ,,
ਡੋਬੂ,ڈوبو,adjective
ਹੱਟਾ,,
ਮਰਦ,مرد,"noun, masculine"
ਵੀਡ਼,,
ਬੂਡ਼ੀ,,
ਸੁਅਸਥ,سُواستھ,adjective
ਮਕੌਡ਼ੀ,,
ਰਬਾਨ,,
ਬਤੀਸੀ,بتیسی,"noun, feminine"
ਟਿੱਡ,ٹِڈّ,"noun, masculine"
ਮਿਣਾਈ,مِنائی,"noun, feminine"
