gurmukhi,shahmukhi,part_of_speech
ਮਿਲਨੀ,,
ਰਿਨ੍ਹਾਉਣਾ,,
ਦੌੜੀਆ,دوڑیا,"noun, masculine"
ਤਾਲੋਂ ਘੁੱਥਾ,تالوں گھُتھّا,"adjective, masculine"
ਬਧੀਕ,,
ਸੇਬ,سیب,"noun, masculine"
ਘਰੋਗੂ,,
ਟੀਕਾ ਕਰਨਾ,ٹیکا کرنا,conjunct verb
ਲਾਇਰਾ,,
ਦੇਣਹਾਰਾ,دینہارا,adjective
ਚਬੀਨਾ,چبینا,"noun, masculine"
ਦੋਂਦਾ,دوندا,"adjective, masculine"
ਕਬਾਹਤਣ,,
ਚਿੰਤਾਵਾਨ,چِنتاوان,adjective
ਚਲ ਪੈਣਾ,چل پَینا,conjunct verb
ਜਥਾਲ,,
ਦੰਗ ਰਹਿ ਜਾਣਾ,دنگ رہِ جانا,phrase
ਨਿਰਪੇਖਵਾਦ,نِرپیکھواد,"noun, masculine"
ਫਰਕਣਾ,پھرکنا,"verb, intransitive"
ਵਣਜਾਰਨ,ونجارن,"noun, feminine/noun, masculine"
ਮੁਲ੍ਹਾ,,
ਹਾਬੜਨਾ,ہابڑنا,"verb, intransitive"
ਪੈਗ,پَیگ,"noun, masculine"
ਸੁਣਨ ਯੰਤਰ,سُنن ینتر,"noun, masculine"
ਨਿਰਖ,نِرکھ,"noun, masculine"
ਮੋਮਣ,,
ਵਨਡ਼ਾ,,
ਖਿੱਲੋ ਦੁਆਣੀ,,
ਖਾਰਨਾ,کھارنا,"verb, transitive"
ਵਿਸਮਾਦੀ,وِسمادی,adjective
ਪਾਣੀ ਦੀਆਂ ਖੇਡਾਂ,پانی دِیاں کھیڈاں,phrase
ਸ੍ਵਾਸਤਿਕ,سواستِک,"noun, masculine"
ਹਰਖਿਆ,ہرکھیا,"adjective, masculine"
ਘਬਰਾ,گھبرا,verb
ਚਰਾ,چرا,verb
ਲਾ ਕੇ ਗੱਲ ਕਰਨੀ,لا کے گلّ کرنی,phrase
ਤਖਾਨ,تکھان,"noun, masculine"
ਭੋਛਾ,بھوچھا,"noun, masculine"
ਦਰੂਮਬੀ,,
ਕੁੱਠਣਾ,کُٹھّنا,"verb, transitive"
ਬਚ ਜਾਣਾ,بچ جانا,conjunct verb
ਕਣਕ ਭਿੰਨਾ,کنک بِھنا,"adjective, masculine"
ਤੁੱਛ,تُچھّ,adjective
ਸਾਹ ਵਿਚ ਸਾਹ ਆਉਣਾ,ساہ وِچ ساہ آؤنا,phrase
ਭਰਨੀ,بھرنی,"noun, feminine"
ਮੁਹਤਬਰ,مُعتبر,adjective
ਬਕਮ,,
ਬਗੋਲਾ,بگولا,"noun, masculine"
ਘਊਂ ਘੱਪ ਕਰਨਾ,گھئوں گھپّ کرنا,phrase
ਹਰਖ,ہرکھ,"noun, masculine"
ਕੰਬਖਤੀ,کمبختی,"noun, feminine"
ਚਿੱਰ,چِرّ,"noun, feminine"
ਪਰੀਤਮ,پرِیتم,"noun, masculine"
ਪਟਰੰਗ,,
ਈਮਾਣ,,
ਸਮੀਖਿਆ ਸ਼ਾਸਤਰੀ,سمیکھیا شاستری,"noun, masculine"
ਗੰਢ ਦੇਣੀ,گنڈھ دینی,conjunct verb
ਗਿਰਥਣੀ,,
ਬੁੱਧਵਾਰ,بُدّھوار,noun
ਕੰਨ੍ਹ,کنّھ,"noun, masculine"
ਥਿਮੀ,,
ਛਿੱਦੀ,,
